Loopcount;Interval;Roll;Pitch;Time;Date;Fix;Latitude;Longitude;Speed
94;201;1.448811;-6.451599;12:16:38.20;15/10/22;True;4657.7300;00829.0410;0.1852
95;201;1.084216;-6.409859;12:16:38.40;15/10/22;True;4657.7300;00829.0411;0.14816
96;198;-0.6420183;-6.127506;12:16:38.60;15/10/22;True;4657.7300;00829.0411;0.16668
97;201;-2.13144;-5.921391;12:16:38.80;15/10/22;True;4657.7300;00829.0412;0.25928
98;201;-2.907933;-6.177657;12:16:39.00;15/10/22;True;4657.7301;00829.0412;0.33336
99;198;-1.9684;-6.162631;12:16:39.20;15/10/22;True;4657.7301;00829.0413;0.44448
100;200;-1.08866;-6.108102;12:16:39.40;15/10/22;True;4657.7301;00829.0414;0.40744
101;200;-0.7392659;-5.374968;12:16:39.60;15/10/22;True;4657.7301;00829.0414;0.3704
102;199;0.07401481;-5.217451;12:16:39.80;15/10/22;True;4657.7301;00829.0414;0.2778
103;203;1.608301;-4.40171;12:16:40.00;15/10/22;True;4657.7301;00829.0414;0.24076
104;197;2.50016;-3.976749;12:16:40.20;15/10/22;True;4657.7301;00829.0415;0.24076
105;202;2.664389;-3.929946;12:16:40.40;15/10/22;True;4657.7301;00829.0415;0.3704
106;198;1.690226;-3.220256;12:16:40.60;15/10/22;True;4657.7301;00829.0416;0.5556001
107;201;0.525282;-2.854581;12:16:40.80;15/10/22;True;4657.7301;00829.0417;0.75932
108;200;-0.08972707;-2.842588;12:16:41.00;15/10/22;True;4657.7301;00829.0418;0.96304
109;199;-0.5413823;-2.690355;12:16:41.20;15/10/22;True;4657.7301;00829.0419;1.14824
110;202;-0.06566614;-2.712936;12:16:41.40;15/10/22;True;4657.7301;00829.0420;1.18528
111;199;0.482391;-3.088929;12:16:41.60;15/10/22;True;4657.7300;00829.0420;1.24084
112;205;0.3774409;-3.326363;12:16:41.80;15/10/22;True;4657.7300;00829.0422;1.44456
113;201;0.5330751;-3.541504;12:16:42.00;15/10/22;True;4657.7301;00829.0423;1.70384
114;198;0.6868911;-4.0493;12:16:42.20;15/10/22;True;4657.7301;00829.0425;1.96312
115;200;0.9652322;-4.720097;12:16:42.40;15/10/22;True;4657.7301;00829.0426;2.09276
116;199;1.593984;-5.327086;12:16:42.60;15/10/22;True;4657.7301;00829.0428;2.1298
117;203;3.074267;-5.657166;12:16:42.80;15/10/22;True;4657.7302;00829.0429;2.18536
118;215;4.71363;-5.609376;12:16:43.00;15/10/22;True;4657.7302;00829.0430;2.2224
119;182;5.708297;-5.564911;12:16:43.20;15/10/22;True;4657.7302;00829.0431;2.20388
120;201;6.572384;-5.750764;12:16:43.40;15/10/22;True;4657.7303;00829.0431;0.29632
121;200;6.882586;-5.527001;12:16:43.60;15/10/22;True;4657.7302;00829.0432;0.31484
122;202;6.452455;-5.323575;12:16:43.80;15/10/22;True;4657.7302;00829.0431;0.31484
123;198;5.889002;-5.131512;12:16:44.00;15/10/22;True;4657.7302;00829.0431;0.2778
124;200;4.811041;-4.714235;12:16:44.20;15/10/22;True;4657.7302;00829.0431;0.25928
125;201;3.820015;-4.286659;12:16:44.40;15/10/22;True;4657.7302;00829.0431;0.22224
126;201;3.0787;-3.679766;12:16:44.60;15/10/22;True;4657.7301;00829.0430;0.1852
127;201;3.318322;-3.10902;12:16:44.80;15/10/22;True;4657.7301;00829.0430;0.16668
128;198;4.309015;-1.589482;12:16:45.00;15/10/22;True;4657.7301;00829.0430;0.16668
129;198;5.077477;-0.7082899;12:16:45.20;15/10/22;True;4657.7301;00829.0431;0.16668
130;203;6.633591;0.6764229;12:16:45.40;15/10/22;True;4657.7301;00829.0431;0.1852
131;200;8.05256;0.4513478;12:16:45.60;15/10/22;True;4657.7301;00829.0431;0.20372
132;201;9.86827;0.6403644;12:16:45.80;15/10/22;True;4657.7302;00829.0431;0.22224
133;201;12.60632;1.367347;12:16:46.00;15/10/22;True;4657.7303;00829.0432;0.25928
134;196;15.55439;1.536184;12:16:46.20;15/10/22;True;4657.7304;00829.0434;0.66672
135;201;18.2446;3.024633;12:16:46.40;15/10/22;True;4657.7305;00829.0435;0.7408
136;200;19.18962;5.704423;12:16:46.60;15/10/22;True;4657.7307;00829.0436;1.1112
137;201;19.85053;8.121558;12:16:46.80;15/10/22;True;4657.7308;00829.0437;1.18528
138;197;19.45798;10.12183;12:16:47.00;15/10/22;True;4657.7310;00829.0438;1.25936
139;204;17.21826;12.21033;12:16:47.20;15/10/22;True;4657.7312;00829.0439;1.5742
140;199;15.953;13.6684;12:16:47.40;15/10/22;True;4657.7314;00829.0442;2.09276
141;202;13.29871;14.39971;12:16:47.60;15/10/22;True;4657.7317;00829.0445;2.57428
142;197;11.41651;14.4686;12:16:47.80;15/10/22;True;4657.7318;00829.0448;0.29632
143;202;8.714847;14.30504;12:16:48.00;15/10/22;True;4657.7319;00829.0449;0.35188
144;203;4.987042;14.20544;12:16:48.20;15/10/22;True;4657.7320;00829.0449;0.38892
145;196;1.957775;13.74919;12:16:48.40;15/10/22;True;4657.7321;00829.0449;0.33336
146;199;-1.503754;13.32609;12:16:48.60;15/10/22;True;4657.7321;00829.0449;0.20372
147;201;-2.469446;12.53423;12:16:48.80;15/10/22;True;4657.7324;00829.0449;0.1852
148;200;-2.505316;12.79091;12:16:49.00;15/10/22;True;4657.7327;00829.0449;0.2778
149;198;-0.8649;11.4566;12:16:49.20;15/10/22;True;4657.7329;00829.0449;4.50036
150;200;1.521715;10.42818;12:16:49.40;15/10/22;True;4657.7345;00829.0448;8.75996
151;200;4.464916;9.848223;12:16:49.60;15/10/22;True;4657.7351;00829.0444;12.88992
152;201;6.877696;9.627645;12:16:49.80;15/10/22;True;4657.7360;00829.0438;19.29784
153;201;9.635197;10.2653;12:16:50.00;15/10/22;True;4657.7369;00829.0431;22.83516
154;199;13.46842;10.09464;12:16:50.20;15/10/22;True;4657.7376;00829.0425;23.68708
155;202;15.58284;10.84005;12:16:50.40;15/10/22;True;4657.7385;00829.0418;24.50196
156;197;17.18365;11.86511;12:16:50.60;15/10/22;True;4657.7392;00829.0411;25.61316
157;200;17.78807;12.71818;12:16:50.80;15/10/22;True;4657.7398;00829.0403;26.52064
158;202;17.6268;13.37949;12:16:51.00;15/10/22;True;4657.7405;00829.0395;26.81696
159;199;17.2406;14.66895;12:16:51.20;15/10/22;True;4657.7415;00829.0388;27.24292
160;201;17.23341;15.64713;12:16:51.40;15/10/22;True;4657.7422;00829.0379;27.26144
161;199;17.41703;16.43681;12:16:51.60;15/10/22;True;4657.7427;00829.0370;27.5948
162;201;17.12341;16.93311;12:16:51.80;15/10/22;True;4657.7433;00829.0361;27.65036
163;199;15.51935;20.67173;12:16:52.00;15/10/22;True;4657.7438;00829.0351;27.53924
164;200;13.89057;21.23316;12:16:52.20;15/10/22;True;4657.7442;00829.0341;27.09476
165;200;11.91951;22.55248;12:16:52.40;15/10/22;True;4657.7445;00829.0331;26.74288
166;200;10.64318;23.65803;12:16:52.60;15/10/22;True;4657.7448;00829.0320;26.70584
167;200;6.276762;25.69939;12:16:52.80;15/10/22;True;4657.7451;00829.0308;26.77992
168;202;2.050878;26.38836;12:16:53.00;15/10/22;True;4657.7453;00829.0296;27.11328
169;197;-4.096424;24.48706;12:16:53.20;15/10/22;True;4657.7454;00829.0283;28.31708
170;201;-10.58708;24.79872;12:16:53.40;15/10/22;True;4657.7454;00829.0270;29.42828
171;200;-15.11904;26.44809;12:16:53.60;15/10/22;True;4657.7455;00829.0256;30.4654
172;200;-22.24318;27.61835;12:16:53.80;15/10/22;True;4657.7454;00829.0242;31.2062
173;220;-26.70687;29.08346;12:16:54.00;15/10/22;True;4657.7454;00829.0228;31.96552
174;182;-27.9539;30.25812;12:16:54.20;15/10/22;True;4657.7453;00829.0214;32.61372
175;200;-23.68741;31.61406;12:16:54.40;15/10/22;True;4657.7453;00829.0199;32.6878
176;201;-18.37037;31.82024;12:16:54.60;15/10/22;True;4657.7451;00829.0185;32.55816
177;198;-13.76892;32.24984;12:16:54.80;15/10/22;True;4657.7450;00829.0170;32.05812
178;203;-8.86202;33.17816;12:16:55.00;15/10/22;True;4657.7450;00829.0156;31.92848
179;196;-4.29712;32.68551;12:16:55.20;15/10/22;True;4657.7458;00829.0142;31.89144
180;202;-0.3973711;32.05166;12:16:55.40;15/10/22;True;4657.7465;00829.0127;32.5026
181;197;4.292467;31.52308;12:16:55.60;15/10/22;True;4657.7469;00829.0110;33.9842
182;203;10.44027;31.27891;12:16:55.80;15/10/22;True;4657.7473;00829.0092;36.31772
183;201;15.14051;29.84931;12:16:56.00;15/10/22;True;4657.7479;00829.0074;38.83644
184;193;19.95713;29.30822;12:16:56.20;15/10/22;True;4657.7486;00829.0054;41.5774
185;201;23.40605;28.94207;12:16:56.40;15/10/22;True;4657.7493;00829.0034;44.02204
186;201;22.23967;28.65373;12:16:56.60;15/10/22;True;4657.7502;00829.0012;46.763
187;200;18.54576;26.50037;12:16:56.80;15/10/22;True;4657.7510;00828.9990;49.15208
188;203;15.70126;26.23628;12:16:57.00;15/10/22;True;4657.7518;00828.9968;51.28188
189;196;12.39916;25.29462;12:16:57.20;15/10/22;True;4657.7525;00828.9946;53.04128
190;200;11.44724;24.27055;12:16:57.40;15/10/22;True;4657.7531;00828.9923;53.708
191;200;12.37395;23.90143;12:16:57.60;15/10/22;True;4657.7537;00828.9901;53.78208
192;199;11.03419;23.44715;12:16:57.80;15/10/22;True;4657.7542;00828.9878;53.8932
193;202;12.89189;23.50108;12:16:58.00;15/10/22;True;4657.7546;00828.9854;54.80068
194;198;12.02372;23.57907;12:16:58.20;15/10/22;True;4657.7548;00828.9831;54.94884
195;202;10.5048;23.18771;12:16:58.40;15/10/22;True;4657.7551;00828.9808;54.94884
196;198;9.795796;22.96449;12:16:58.60;15/10/22;True;4657.7553;00828.9784;54.9118
197;200;8.866605;22.61417;12:16:58.80;15/10/22;True;4657.7554;00828.9760;54.83772
198;204;8.237519;21.92211;12:16:59.00;15/10/22;True;4657.7554;00828.9735;54.85624
199;197;9.717245;21.41058;12:16:59.20;15/10/22;True;4657.7555;00828.9711;55.24516
200;203;11.19051;20.58531;12:16:59.40;15/10/22;True;4657.7554;00828.9686;55.59704
201;200;11.58285;20.74086;12:16:59.60;15/10/22;True;4657.7553;00828.9662;55.43036
202;200;11.13095;19.44337;12:16:59.80;15/10/22;True;4657.7551;00828.9637;55.61556
203;205;11.0747;18.68457;12:17:00.00;15/10/22;True;4657.7548;00828.9612;55.78224
204;199;9.930888;18.87685;12:17:00.20;15/10/22;True;4657.7545;00828.9588;56.486
205;196;8.208017;18.39397;12:17:00.40;15/10/22;True;4657.7542;00828.9563;56.61564
206;200;6.541352;18.29784;12:17:00.60;15/10/22;True;4657.7537;00828.9539;56.949
207;200;4.298013;17.72033;12:17:00.80;15/10/22;True;4657.7533;00828.9514;57.43052
208;200;2.393759;16.54145;12:17:01.00;15/10/22;True;4657.7529;00828.9490;57.30088
209;201;0.9828182;16.14999;12:17:01.20;15/10/22;True;4657.7524;00828.9466;57.24532
210;199;-0.08135104;15.65642;12:17:01.40;15/10/22;True;4657.7519;00828.9442;57.24532
211;200;-3.148258;14.51133;12:17:01.60;15/10/22;True;4657.7514;00828.9417;57.56016
212;200;-8.805556;11.94;12:17:01.80;15/10/22;True;4657.7509;00828.9393;57.93056
213;201;-9.750717;11.90009;12:17:02.00;15/10/22;True;4657.7504;00828.9368;58.26392
214;201;-10.0456;11.81058;12:17:02.20;15/10/22;True;4657.7499;00828.9343;58.801
215;201;-9.777301;11.92009;12:17:02.40;15/10/22;True;4657.7494;00828.9318;59.20844
216;199;-9.297239;11.83934;12:17:02.60;15/10/22;True;4657.7488;00828.9293;59.22696
217;199;-10.23923;12.77943;12:17:02.80;15/10/22;True;4657.7483;00828.9268;59.52328
218;201;-10.8188;12.98181;12:17:03.00;15/10/22;True;4657.7478;00828.9242;61.37528
219;202;-10.73087;12.4277;12:17:03.20;15/10/22;True;4657.7474;00828.9215;61.74568
220;199;-10.13609;11.74433;12:17:03.40;15/10/22;True;4657.7469;00828.9189;62.2272
221;199;-8.786059;11.68713;12:17:03.60;15/10/22;True;4657.7465;00828.9162;62.30128
222;201;-6.637698;10.89245;12:17:03.80;15/10/22;True;4657.7462;00828.9135;62.20868
223;199;-5.274658;9.424245;12:17:04.00;15/10/22;True;4657.7458;00828.9108;62.07904
224;199;-3.887788;8.630431;12:17:04.20;15/10/22;True;4657.7456;00828.9081;61.63455
225;201;-3.571596;7.258144;12:17:04.40;15/10/22;True;4657.7453;00828.9053;61.26417
226;199;-3.184278;8.665559;12:17:04.60;15/10/22;True;4657.7452;00828.9026;60.81968
227;201;-2.72021;8.557542;12:17:04.80;15/10/22;True;4657.7450;00828.8999;60.31964
228;214;-2.973227;7.941195;12:17:05.00;15/10/22;True;4657.7450;00828.8973;59.4492
229;186;-2.5688;7.565681;12:17:05.20;15/10/22;True;4657.7449;00828.8947;59.00472
230;199;0.02200961;7.872172;12:17:05.40;15/10/22;True;4657.7449;00828.8921;58.59728
231;200;0.5183234;7.480832;12:17:05.60;15/10/22;True;4657.7450;00828.8895;58.5232
232;201;1.23577;7.174172;12:17:05.80;15/10/22;True;4657.7450;00828.8868;58.44912
233;202;1.890191;7.892092;12:17:06.00;15/10/22;True;4657.7451;00828.8842;58.41208
234;201;2.34796;7.605497;12:17:06.20;15/10/22;True;4657.7453;00828.8816;58.54172
235;197;2.767164;7.796129;12:17:06.40;15/10/22;True;4657.7454;00828.8790;58.57876
236;200;3.090205;7.602194;12:17:06.60;15/10/22;True;4657.7456;00828.8764;58.6158
237;202;4.155858;6.977602;12:17:06.80;15/10/22;True;4657.7458;00828.8738;58.67136
238;197;4.20395;7.624681;12:17:07.00;15/10/22;True;4657.7460;00828.8712;58.78248
239;201;4.660704;6.971506;12:17:07.20;15/10/22;True;4657.7462;00828.8685;59.264
240;201;4.969605;6.428491;12:17:07.40;15/10/22;True;4657.7464;00828.8659;59.59736
241;201;4.294133;5.562757;12:17:07.60;15/10/22;True;4657.7466;00828.8633;59.61588
242;199;4.18498;5.477499;12:17:07.80;15/10/22;True;4657.7468;00828.8606;59.9122
243;199;4.752789;5.496112;12:17:08.00;15/10/22;True;4657.7471;00828.8581;59.9122
244;200;5.360482;4.301571;12:17:08.20;15/10/22;True;4657.7473;00828.8554;59.89368
245;199;5.807048;3.480279;12:17:08.40;15/10/22;True;4657.7475;00828.8528;59.85664
246;200;6.076134;3.988665;12:17:08.60;15/10/22;True;4657.7477;00828.8502;59.9122
247;203;4.346975;3.760453;12:17:08.80;15/10/22;True;4657.7479;00828.8476;59.96776
248;200;4.463609;3.446945;12:17:09.00;15/10/22;True;4657.7481;00828.8449;60.0048
249;198;4.984492;3.512735;12:17:09.20;15/10/22;True;4657.7483;00828.8423;60.06036
250;201;5.798545;4.463997;12:17:09.40;15/10/22;True;4657.7485;00828.8396;60.11592
251;197;5.996299;5.792851;12:17:09.60;15/10/22;True;4657.7487;00828.8370;60.17148
252;202;5.507168;5.441799;12:17:09.80;15/10/22;True;4657.7489;00828.8343;60.17148
253;202;5.299975;4.763192;12:17:10.00;15/10/22;True;4657.7491;00828.8317;60.13444
254;199;4.258121;3.633896;12:17:10.20;15/10/22;True;4657.7492;00828.8290;59.80108
255;199;5.007355;3.731821;12:17:10.40;15/10/22;True;4657.7493;00828.8264;59.80108
256;200;5.297583;3.133823;12:17:10.60;15/10/22;True;4657.7494;00828.8238;59.83812
257;200;4.888841;3.653439;12:17:10.80;15/10/22;True;4657.7495;00828.8211;60.2826
258;200;5.944117;3.483734;12:17:11.00;15/10/22;True;4657.7497;00828.8185;60.59744
259;199;4.735568;2.832161;12:17:11.20;15/10/22;True;4657.7498;00828.8158;60.69004
260;203;2.951318;3.525971;12:17:11.40;15/10/22;True;4657.7499;00828.8130;61.26417
261;196;3.931456;4.675806;12:17:11.60;15/10/22;True;4657.7500;00828.8103;61.7642
262;202;4.22237;5.987372;12:17:11.80;15/10/22;True;4657.7501;00828.8076;61.69012
263;202;2.59599;4.980153;12:17:12.00;15/10/22;True;4657.7501;00828.8048;61.93088
264;199;3.205139;5.643872;12:17:12.20;15/10/22;True;4657.7502;00828.8020;62.15312
265;199;1.386548;5.247867;12:17:12.40;15/10/22;True;4657.7502;00828.7992;62.39388
266;200;0.3663361;3.614231;12:17:12.60;15/10/22;True;4657.7502;00828.7964;62.56056
267;199;-0.06440866;3.520255;12:17:12.80;15/10/22;True;4657.7502;00828.7936;62.76428
268;201;-0.7459217;2.584223;12:17:13.00;15/10/22;True;4657.7502;00828.7907;65.82008
269;199;-1.396821;3.698428;12:17:13.20;15/10/22;True;4657.7501;00828.7878;66.72756
270;201;-0.9557889;2.086824;12:17:13.40;15/10/22;True;4657.7501;00828.7848;67.24613
271;199;0.31682;1.945683;12:17:13.60;15/10/22;True;4657.7500;00828.7819;67.30168
272;200;-1.022237;1.504251;12:17:13.80;15/10/22;True;4657.7499;00828.7789;67.37576
273;202;-0.3714674;2.124688;12:17:14.00;15/10/22;True;4657.7499;00828.7759;67.41281
274;200;0.2240981;1.368351;12:17:14.20;15/10/22;True;4657.7498;00828.7730;67.39428
275;200;-0.4094197;1.375225;12:17:14.40;15/10/22;True;4657.7497;00828.7700;67.06092
276;200;-0.5733833;1.593563;12:17:14.60;15/10/22;True;4657.7496;00828.7670;67.02388
277;199;1.783129;1.001462;12:17:14.80;15/10/22;True;4657.7495;00828.7641;66.89424
278;202;1.495225;1.107279;12:17:15.00;15/10/22;True;4657.7494;00828.7611;66.50532
279;198;5.062727;1.383229;12:17:15.20;15/10/22;True;4657.7493;00828.7582;66.4868
280;202;4.426861;1.861944;12:17:15.40;15/10/22;True;4657.7492;00828.7552;66.59791
281;198;3.954104;0.3185395;12:17:15.60;15/10/22;True;4657.7491;00828.7523;66.69052
282;197;3.288738;-0.3841541;12:17:15.80;15/10/22;True;4657.7490;00828.7493;66.83868
283;219;2.874692;-1.619341;12:17:16.00;15/10/22;True;4657.7489;00828.7463;67.35724
284;183;2.478466;-2.49423;12:17:16.20;15/10/22;True;4657.7488;00828.7434;67.8758
285;204;3.052515;-3.51957;12:17:16.40;15/10/22;True;4657.7487;00828.7404;68.20916
286;196;4.010649;-3.833312;12:17:16.60;15/10/22;True;4657.7487;00828.7374;68.20916
287;200;3.905142;-4.660909;12:17:16.80;15/10/22;True;4657.7486;00828.7344;68.17212
288;201;2.890422;-4.794498;12:17:17.00;15/10/22;True;4657.7485;00828.7314;67.6906
289;198;2.002127;-5.142676;12:17:17.20;15/10/22;True;4657.7484;00828.7284;68.02396
